Cycle_Group,Discharge Time (s)_mean,Discharge Time (s)_std,Discharge Time (s)_min,Discharge Time (s)_max,Discharge Time (s)_skew,Discharge Time (s)_kurtosis,Decrement 3.6-3.4V (s)_mean,Decrement 3.6-3.4V (s)_std,Decrement 3.6-3.4V (s)_min,Decrement 3.6-3.4V (s)_max,Decrement 3.6-3.4V (s)_skew,Decrement 3.6-3.4V (s)_kurtosis,Max. Voltage Dischar. (V)_mean,Max. Voltage Dischar. (V)_std,Max. Voltage Dischar. (V)_min,Max. Voltage Dischar. (V)_max,Max. Voltage Dischar. (V)_skew,Max. Voltage Dischar. (V)_kurtosis,Min. Voltage Charg. (V)_mean,Min. Voltage Charg. (V)_std,Min. Voltage Charg. (V)_min,Min. Voltage Charg. (V)_max,Min. Voltage Charg. (V)_skew,Min. Voltage Charg. (V)_kurtosis,Time at 4.15V (s)_mean,Time at 4.15V (s)_std,Time at 4.15V (s)_min,Time at 4.15V (s)_max,Time at 4.15V (s)_skew,Time at 4.15V (s)_kurtosis,Time constant current (s)_mean,Time constant current (s)_std,Time constant current (s)_min,Time constant current (s)_max,Time constant current (s)_skew,Time constant current (s)_kurtosis,Charging time (s)_mean,Charging time (s)_std,Charging time (s)_min,Charging time (s)_max,Charging time (s)_skew,Charging time (s)_kurtosis,Total time (s)_mean,Total time (s)_std,Total time (s)_min,Total time (s)_max,Total time (s)_skew,Total time (s)_kurtosis,RUL,Battery_ID
0,22173.869583333333,86270.34528406462,2206.88,435251.49,4.5133007482729095,18.57843308210728,10485.97569325899,44566.239305143405,823.219,263086.078,4.870790693311804,22.886886816936762,4.046375,0.12136942462598459,3.67,4.29,-1.077721334,3.909226522518642,3.3944791666666667,0.12780586834050106,3.086,3.901,0.9990226555137132,4.756148779730861,9435.505585633644,31039.18365207297,269.98399999999674,219923.99600000004,6.702002416195275,42.954016604394205,24977.3,87072.51662539746,2922.69,443700.02,4.546449289888931,18.79865472105468,27488.422916666663,86564.39268952877,5954.47,443700.02,4.542825017230415,18.77633421461791,33801.96688,92957.63470042967,8346.600000000093,476191.3000000001,4.423786908959129,17.987280716569526,1064,1
1,6243.059400000001,28827.48177087843,2130.69,206007.26,6.8571368202733725,45.02035411837061,-510.12448,9189.891322341573,-64192.716,820.8119999996852,-6.857107083,45.020087920245295,4.0234,0.039315054,4.003,4.271,5.144019108476314,29.801378078044387,3.40916,0.075358019,3.166,3.731,2.0867210659547326,9.872825234280453,6279.185728000015,9601.168208,4808.344000000041,72809.98200000008,6.856529822,45.01491544789608,7456.049000000002,11114.643895599569,5768.34,84474.65,6.856600295128128,45.015547042433155,10532.34,10670.750170642232,8896.53,84474.65,6.856501994350403,45.01465842427522,17116.6922,30577.537446336926,11041.870000000112,220557.92000000016,6.139314333780831,37.89945546101476,1014,1
2,2098.017755102041,20.119121632718183,2063.19,2128.56,-0.097188468,-1.399229122,739.8359061224802,14.849235861058101,716.7814000002109,768,0.16504776397589405,-1.221328307,4.001877551020408,0.003649387,3.991,4.014,0.5616816466746929,2.360394703844868,3.438285714285715,0.069869819,3.397,3.76,3.7093696935066847,12.370418158918843,4710.415575510249,85.79793745670355,4574.344000000507,5066.256000000052,1.2509758418732042,4.045908537624741,5673.248775510204,115.04185096507005,5516.34,6147.88,2.050774871,6.114770490067025,8873.851429,95.91087416624534,8766.5,9425.95,3.9268926422346335,20.54240305616146,12749.946530612247,8637.523054992502,10863.869999999646,54197.81999999983,4.640167725653312,19.535251742099874,964,1
3,2034.2953999999997,18.630268569711813,2001.22,2063.94,-0.069337824,-1.300476449,695.2355739999895,12.826745326768519,675.2000000001863,716.9922500001267,0.016811668504282853,-1.279746567,3.9952199999999993,0.003005369,3.989,4.007,1.5039816027747004,3.659696928139879,3.4649199999999998,0.08139494,3.432,3.778,3.1841584666225757,8.457179546142182,4492.920370666627,62.74234984728911,4370.343000000343,4586.383,-0.138608329,-1.277852831,5439.131200000001,64.26344301961025,5336.31,5552.34,-0.087869455,-1.303937313,8737.745600000002,45.878256072402024,8661.19,8844.64,0.4518966736713326,-0.401561221,12516.272399999998,8558.731996253147,10679.25,54057.869999999646,4.694463302298213,20.03935418,914,1
4,5958.810799999999,28130.47154,1946.91,200892.99,6.857138111699069,45.02036568042771,2634.7074139999895,13983.722291580145,639.2000000001863,99536.92650000006,6.857135663953964,45.02034376717299,3.9934400000000005,0.039878468437215084,3.981,4.269,6.797044414385098,44.47858244254081,3.4722000000000004,0.07112593,3.279,3.781,2.6536768978029124,10.074768107638347,5618.291057999965,9129.609208,4184.343999999575,68880.00399999972,6.856044280065796,45.01054925,6771.928600000001,10643.821906750241,5120.34,80526.56,6.856189160724601,45.01184699387233,10109.0884,10162.402889409519,8576.12,80526.56,6.855814981081134,45.00845352197642,16490.79780000001,29959.290956520887,10537.72000000067,215443.66999999995,6.110636344434142,37.60266300091115,864,1
5,1918.2714,16.87692918798697,1888.47,1945.41,-0.049924608,-1.271361937,621.7287479999848,9.680827364244442,605.5999999996275,638,0.045049009,-1.23734615,3.9806,0.002821203,3.976,3.991,1.3451942480034909,2.2316370808683104,3.4953799999999995,0.076535943,3.467,3.789,3.1948464402577295,8.508229789516557,4109.280839999995,59.11654036445446,3982.7120000002906,4208.375,-0.130780812,-1.054881963,5039.1332,59.19206074176784,4940.22,5156.38,-0.013042642,-1.009868533,8559.1788,38.76515085717575,8489.94,8671.06,0.4216185504089774,-0.023323232,12220.836999999992,8567.689716,10395.629999999888,53803.80999999959,4.694601387973214,20.040176692197576,814,1
6,5818.2726,27841.27905803428,1845.12,198748.44,6.857136932301946,45.02035512091644,4427.472146666663,27079.24062299829,578,192077.0229999991,6.857141378213216,45.020394923354424,3.9827599999999994,0.040924300450306275,3.971,4.266,6.830724024405845,44.78345731076293,3.4977199999999997,0.068210072,3.29,3.791,2.3378341810372634,10.005267184478628,5260.421103333459,8865.366787170742,3860.375,66689.98100000061,6.855647998628246,45.00698746059998,6396.722000000002,10370.41436257875,4796.25,78255.55,6.855812243879619,45.00845553383662,9907.6812,9864.304459,8395.34,78255.55,6.854570684940167,44.99718309958186,16194.257799999994,29704.909427742503,10258.14999999944,213299.1399999997,6.0984557213264825,37.47661908914555,764,1
7,1765.2635294117647,283.2250896145428,168,1843.44,-5.508437864,28.583440658742774,555.4902443977292,39.451275124132835,342.8571428572759,581,-4.768824592,23.374642734862327,3.969529411764707,0.00296684,3.966,3.978,0.9559575759492198,0.26331861374983934,3.5286470588235295,0.10157095813539367,3.492,3.983,3.489493301157809,11.407442523536398,3698.9591862746543,463.7526397969319,1112.25,3872.352000000887,-5.319058297,27.226420281303334,4613.816764705882,464.6758101947258,2024.25,4796.35,-5.304194394,27.120111928390973,8296.507352941177,454.2827178678349,5742.11,8528.44,-5.455580854,28.21505195207054,11347.48264705882,7477.0890956827325,7567.919999999925,53557.57,5.524657171552951,28.71244662338898,714,1
8,5827.193125000001,28183.014191110142,1716.73,197016.9,6.709781328017786,43.02120412211015,583.2171122023808,368.5562227067415,512,3082.4887500004843,6.701688653843966,42.950422911017036,3.966270833333333,0.043669815069758935,3.953,4.262,6.673061140929571,42.69882010257717,3.5274791666666663,0.067931126,3.297,3.809,1.737149140903233,9.401149503243158,4886.122437500099,8806.259935,3428.2810000004247,64619.998,6.707474619991057,43.00093946645366,6013.936041666668,10330.688515177495,4364.28,76089.12,6.7077548581290465,43.00338770915631,9742.187083333334,9782.480330717583,8197.41,76089.12,6.7047548923310885,42.97666991786151,16101.851458333338,30111.416292284972,9932.089999999853,211567.6400000006,5.955685942069589,35.687710131975905,664,1
9,1672.604081632653,47.51509312481525,1605.64,1767.97,0.097833562,-1.299665201,491.77703498542246,24.711778582736954,459.8571428572759,563,0.961258092,0.9657353461857574,3.9494693877551015,0.004573939,3.939,3.958,0.043960998166046414,-0.905265406,3.5524489795918366,0.089533062,3.492,4.053,4.431591316012453,20.048163777557757,3261.3540612177367,458.8296150886566,302.3519999999553,3629.9599999999614,-5.593618062,33.82220746059146,4152.294285714285,469.86606989385825,1124.35,4544.36,-5.581210252,33.71541446,8098.0116326530615,428.7419834301421,5277.63,8557.54,-5.931202183,36.87545717610527,10667.933877551022,6229.829817186993,6928.189999999479,53277.950000000186,6.727969119928051,43.54627431521058,614,1
